frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
380,7,3,3,10,10,0.6514588356018066,9.620071854442358
381,6,4,4,10,10,0.6571795910596847,13.232179917395115
382,6,4,6,12,10,0.6573457956314087,10.651412885636091
383,6,4,6,12,10,0.6463685870170593,16.599005088210106
384,6,3,5,11,9,0.6929323474566141,11.66934473440051
385,6,4,5,11,10,0.6646514743566513,13.580709230154753
386,6,5,5,11,11,0.6377560306679119,11.49642700329423
387,6,4,5,11,10,0.6676205694675446,14.258299954235554
388,7,7,3,10,14,0.5539675163371223,10.903478134423494
389,8,6,1,9,14,0.5559765355927604,14.609330799430609
390,7,6,2,9,13,0.5791445993460141,9.683238808065653
391,7,5,3,10,12,0.6016147683064142,15.224101021885872
392,7,5,3,10,12,0.6211563721299171,12.202925980091095
393,7,4,4,11,11,0.637522125786001,11.484498623758554
394,7,5,3,10,12,0.6233387837807337,12.335319072008133
395,7,6,3,10,13,0.599439630141625,14.981977175921202
396,7,6,4,11,13,0.6044358771580917,9.897226933389902
397,7,4,4,11,11,0.6440123780207201,12.789932079613209
398,7,5,5,12,12,0.6234173029661179,11.755388230085373
399,7,2,4,11,9,0.732090049319797,12.557553593069315
400,7,2,3,10,9,0.7379538549317254,9.887814056128263
401,7,2,3,10,9,0.7388523121674856,13.384860940277576
402,7,2,3,10,9,0.7451441486676534,13.234707061201334
403,7,5,3,10,12,0.6454052403569221,13.301771599799395
404,7,3,2,9,10,0.7171041965484619,11.739179957658052
405,7,3,2,9,10,0.6982509464025497,14.856512192636728
406,7,3,2,9,10,0.6684943854808807,9.996934793889523
407,7,2,2,9,9,0.707374331023958,13.680086936801672
408,7,1,2,9,8,0.7872150838375092,11.279300786554813
409,7,1,2,9,8,0.7862313166260719,11.365427169948816
410,7,2,2,9,9,0.7282125916745927,12.069283984601498
411,7,2,2,9,9,0.7362980710135566,10.233159642666578
412,7,2,2,9,9,0.7261787520514594,12.597557157278061
413,6,2,4,10,8,0.7351313196122646,11.046638246625662
414,7,1,3,10,8,0.7776248827576637,12.14211294427514
415,7,3,3,10,10,0.6860716432332993,11.707379948347807
416,7,3,2,9,10,0.6754269182682038,15.4976318590343
417,7,4,2,9,11,0.6399828087199818,10.182719212025404
418,7,5,2,9,12,0.6253014629085859,16.253110952675343
419,7,4,2,9,11,0.6794439147819172,9.827002417296171
420,7,4,2,9,11,0.636126082051884,15.460274647921324
421,8,3,2,10,11,0.675732897086577,10.461053345352411
422,8,2,2,10,10,0.6960606068372727,15.009105205535889
423,8,6,2,10,14,0.5813014400856835,10.674047283828259
424,8,2,2,10,10,0.6734334111213685,13.463699258863926
425,8,3,2,10,11,0.6396005830981515,10.553525760769844
426,8,5,3,11,13,0.609540173640618,12.227033730596304
427,8,5,2,10,13,0.6120793039982135,10.38542902097106
428,8,6,4,12,14,0.5735066554376057,10.416174307465553
429,8,5,4,12,13,0.6550509723333212,12.113636825233698
430,8,4,4,12,12,0.6415257801612219,11.663916055113077
431,8,4,3,11,12,0.6441041678190231,12.61103805154562
432,8,5,3,11,13,0.6182273030281067,11.449357960373163
433,8,3,2,10,11,0.6731579981066964,14.356525149196386
434,8,6,2,10,14,0.5677517609936851,9.879796300083399
435,7,4,3,10,11,0.7009907581589438,12.793463189154863
436,7,3,1,8,10,0.7115500003099442,11.65578467771411
437,7,3,1,8,10,0.6576692461967468,11.884983163326979
438,7,1,2,9,8,0.7263324409723282,12.363628018647432
439,6,1,2,8,7,0.7946974379675729,14.062152709811926
440,6,3,2,8,9,0.6443736222055223,11.84235792607069
441,5,5,2,7,10,0.6218647629022598,15.05524292588234
442,6,3,1,7,9,0.6479304863346947,9.538847953081131
443,7,2,1,8,9,0.6914178364806705,15.278770122677088
444,8,4,1,9,12,0.6321680620312691,10.538423899561167
445,8,3,3,11,11,0.6709814857352864,14.30277805775404
446,7,4,3,10,11,0.6599789993329481,9.877328295260668
447,7,7,3,10,14,0.6033853037016732,12.512416113168001
448,6,6,3,9,12,0.6541279852390289,11.047796811908484
449,7,4,3,10,11,0.6505790596658533,11.823989916592836
450,6,5,2,8,11,0.6673779135400598,12.587374076247215
451,6,4,4,10,10,0.6763938963413239,9.48355020955205
452,7,5,3,10,12,0.5833073804775873,13.15590227022767
453,7,5,3,10,12,0.5680797472596169,12.377130333334208
454,5,4,4,9,9,0.6933022406366136,14.171653892844915
455,6,2,4,10,8,0.7556026875972748,10.128261055797338
456,7,1,2,9,8,0.7591025680303574,14.723361935466528
457,6,5,2,8,11,0.6580911603840914,10.935700964182615
458,5,6,3,8,11,0.644329472021623,14.081246685236692
459,6,4,3,9,10,0.6752444326877594,12.30172486975789
460,6,3,4,10,9,0.7298278311888377,15.316509176045656
461,6,3,4,10,9,0.7204758822917938,9.80686815455556
462,7,3,3,10,10,0.697578027844429,16.360470093786716
463,9,1,3,12,10,0.6996989965438842,10.080588981509209
464,9,3,3,12,12,0.6538883273800215,13.29818507656455
465,8,3,4,12,11,0.6589528024196625,9.752949234098196
466,7,4,5,12,11,0.649964300068942,11.406529229134321
467,7,4,5,12,11,0.654861948706887,12.150574009865522
468,7,3,6,13,10,0.6979217976331711,11.40298368409276
469,8,3,6,14,11,0.6982875845649026,11.706562247127295
470,7,4,6,13,11,0.7228952510790392,12.025562580674887
471,8,4,6,14,12,0.6945965538422266,15.083379112184048
472,9,4,8,17,13,0.6478024010474865,9.862164966762066
473,8,4,9,17,12,0.6736407528320948,12.048874981701374
474,7,4,11,18,11,0.7078411931341345,12.0496591553092
475,10,3,8,18,13,0.6279787398301638,14.095665886998177
476,10,4,7,17,14,0.6218804312603814,9.745099116116762
477,9,3,8,17,12,0.6832928682367007,12.294260784983635
478,10,4,7,17,14,0.6632585419075829,11.340843047946692
